Week Start Date,Sum of sales
05-01-2015,14316
12-01-2015,14055
19-01-2015,14118
26-01-2015,14420
02-02-2015,15664
09-02-2015,15993
16-02-2015,15860
23-02-2015,16213
02-03-2015,19030
09-03-2015,18844
16-03-2015,18922
23-03-2015,18718
30-03-2015,21361
06-04-2015,22022
13-04-2015,21839
20-04-2015,21862
27-04-2015,22565
04-05-2015,23344
11-05-2015,23571
18-05-2015,23551
25-05-2015,23551
01-06-2015,25326
08-06-2015,25333
15-06-2015,25171
22-06-2015,24987
29-06-2015,26222
06-07-2015,26769
13-07-2015,26800
20-07-2015,26715
27-07-2015,25794
03-08-2015,23457
10-08-2015,23549
17-08-2015,23604
24-08-2015,23466
31-08-2015,22175
07-09-2015,21892
14-09-2015,22236
21-09-2015,22008
28-09-2015,20899
05-10-2015,20171
12-10-2015,20452
19-10-2015,20347
26-10-2015,20560
02-11-2015,21952
09-11-2015,21919
16-11-2015,22025
23-11-2015,21998
30-11-2015,16486
07-12-2015,15543
14-12-2015,15961
21-12-2015,15724
28-12-2015,15310
04-01-2016,15350
11-01-2016,15250
18-01-2016,15377
25-01-2016,15102
01-02-2016,17131
08-02-2016,17002
15-02-2016,17052
22-02-2016,16977
29-02-2016,20290
07-03-2016,20470
14-03-2016,20684
21-03-2016,20553
28-03-2016,22057
04-04-2016,24026
11-04-2016,24191
18-04-2016,23926
25-04-2016,24338
02-05-2016,25662
09-05-2016,25450
16-05-2016,25393
23-05-2016,25759
30-05-2016,26821
06-06-2016,27120
13-06-2016,27294
20-06-2016,27185
27-06-2016,28049
04-07-2016,28968
11-07-2016,29048
18-07-2016,29185
25-07-2016,28857
01-08-2016,25481
08-08-2016,25618
15-08-2016,25573
22-08-2016,25524
29-08-2016,24642
05-09-2016,23904
12-09-2016,23998
19-09-2016,23856
26-09-2016,23193
03-10-2016,22122
10-10-2016,22237
17-10-2016,21829
24-10-2016,22018
31-10-2016,23556
07-11-2016,23522
14-11-2016,23681
21-11-2016,23582
28-11-2016,19504
05-12-2016,16938
12-12-2016,16874
19-12-2016,17124
26-12-2016,16771
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
